Time		Subtitle		Translation
00:00:05		 そう です ね 真鯛 の えっと 　 面白み 　 ま 　 どの 　 魚 　 も 　 楽しい 　 ん 　 です 　 けど 　 特に  		
00:00:11		 自分 は 真鯛 が 好き で よく 追っかけ てる ん 　 です 　 けど 　 真鯛 　 の 　 特有 　 の 　 引き 　 だっ 　 たり 　 あと  		
00:00:16		 難易 度 の 高 さま 簡単 な 日 も ある ん です けど 　 釣れ 　 た 　 時 　 の 　 こう 　 達成 　 感 　 だっ 　 たり 　 と 　 か 　 が 　 ま  		
00:00:23		 自己 満足 の 世界 な ん です けど まだ に は それ 　 が 　 ものすごく 　 なん か 　 俺 　 自分 　 の 　 中 　 で 　 あっ 　 て 　 ね  		
00:00:28		 引き も すごい です けど そこ ら 辺 が 一番 　 楽しく 　 て 　 あの 　 はまっ 　 ちゃっ 　 て 　 ます 　 ね 　 今回  		
00:00:34		 です ねえっ と 熊本 県 天草 で ショア から の 　 真鯛 　 を 　 やっ 　 て 　 み 　 たい 　な 　 と 　 思っ 　 て 　 おり 　 ます  		
00:00:41		 こう いう とこ で こう いう 釣り 方 し てる ん だ 　 と 　 か 　 そう 　 いう 　 ところ 　 を 　 見 　 て 　 もらえ 　 たら 　 参考  		
00:00:45		 に し て もらえ たら 嬉しい な と 思っ て  		
00:00:50		 [ 音楽 ]  		
00:00:58		 ます  		
00:01:03		 よし とりあえず 足場 の いい とこ から 釣り し 　 て 　 み 　 ましょう 　 か  		
00:01:08		 ねしゃ じゃあ とりあえず 　 ね 　 向かい 風 　 の 　 中 　 から 　 の 　 スタート 　 で 　 やっ 　 て  		
00:01:15		 みよう か な と 思い  		
00:01:20		 ます とりあえず 9 . 5 cm か な の 新編 から 　 やっ 　 て 　 みよう 　 か 　 と 　 思い  		
00:01:28		 ます  		
00:01:34		 風 で 戻さ れ よる な ルアー 　 が 　 ま 　 今 　 から 　 今 　 は 　 ここ 　 から 　 エントリー 　 し　た 　 し  		
00:01:40		 た ん です けど とりあえず 目 の 前 に ねよれ が 　 ものすごく 　 広がっ 　 てる 　 ん 　 で 　 ここ 　 スタート 　 し  		
00:01:47		 たっす けど 今 から ラガ し つつ 売っ て いこう 　 か　な 　 と 　 あっちこっち 　 回っ 　 て 　 みよう 　 か　な 　 と  		
00:01:54		 思っ て  		
00:01:58		 ます 　 で 　 です 　 ね  		
00:02:02		 えっ と 真鯛 ショアショア の ショア から の 　 真鯛 　 ルア 　 で 　 よく 　 狙う 　 狙う 　 ん　す 　 けど 　 自分 　 は 　 で  		
00:02:10		 それ あの シーズン と か も 　 結構 　 絡ま 　 絡ん 　 で 　 き 　 て 　 て　ま 　 自分 　 は 　 です 　 ね 　 大体  		
00:02:17		 冬初め ぐらい から やり 始める ん です けど 　 多分 　 1 番 　 マックス 　 に 　 よく 　 釣れる 　 よっっ 　 て  		
00:02:25		 いう の が 　 春 　 前後 　 ま 　 もう 　 ま 　 春 　 と 　 か 　 で 　 も 　 いい 　 ん 　 です 　 けど  		
00:02:32		 が 一番 なんか ショア の 方 に 差し やすく て ま 　 エリア 　 も 　 自分 　 は　ま 　 九州 　 で 　 ね 　 長崎 　 と 　 か 　 で 　 よく  		
00:02:38		 やるんす けど こう 今回 来 てる 甘草 だっ たり 　 と 　 か 　 も 　 多分 　 冬 　 から 　 春 　 に 　 かけ 　 て 　 が 　 1 番  		
00:02:45		 楽しめる ん じゃ ない か な と で 多分 通 年 　 釣れる 　 ん 　 です 　 けど 　 こう 　 ショア 　 に 　 より 　 安い  		
00:02:51		 真鯛 が 浅い 方 に まこれ も 1 つ ベイト の 関係 　 性 　 が 　 あっ 　 て 　 イワシ 　 と 　 か 　 が 　 こう 　 シロ 　 の 　 方 　 に 　 に  		
00:02:59		 よりやい 季節 な ん で そう いう の 捕食 し に 来 　 てる 　 真鯛 　 だっ 　 たり 　 青物 　 だっ 　 たり 　 を 　 狙っ 　 て  		
00:03:07		 いけ たら な と 思っ て ま 今回 は 天草 から の 　 実調 　 です  		
00:03:17		 ねまだ ベイト 見 て ない っす けど 多分 イワシ 　 な　ん 　 で 　 ちっちゃい 　 ルアー 　 が 　 銀 　 なかろう 　 か  		
00:03:25		 [ 拍手 ]  		
00:03:28		 と パス 　 の 　 シンキング 　 ペンシル 　 です 　 ね 　 です  		
00:03:38		 [ 音楽 ] 　 ね 　 はい 　 えっと 　 そう 　 です 　 ね 　 真鯛 　 を 　 狙う 　 に  		
00:03:44		 あたっ て 大体 自分 が 意識 し てる の は もう 　 1 番 　 は 　 ベイト 　 な　ん 　 です 　 けど 　 えっと 　 ま 　 ベイト  		
00:03:50		 以外 で て 考え た 時 は やっぱり 流れ の 早 　 えっと 　 効き 　 やすい 　 よう 　 な 　 とこ 　 だっ 　 たり 　 と 　 か  		
00:03:56		 水深 が ある ところ が 近い ところ 今日 は 　 ブレイク 　 が 　 ある 　 ところ 　 と 　 か 　 そう 　 いう 　 の 　 を  		
00:04:02		 踏まえ て の ポイント 選び し て ます ね いつ も 　 と 　 で 　 な　ん 　 だろう 　 経験 　 状 　 よく 　 釣れる 　 なっ 　 て  		
00:04:10		 思う の は やっぱり その ブレーク 置き置き が 　 深く 　 て 　 こう 　 駆け上がり 　 が 　 近い  		
00:04:16		 ところ が よく こう 回遊 し やすい イメージ が 　 あっ 　 て 　 そう 　 いう 　 ところ 　 は 　 よく 　 魚 　 も 　 自分 　 かけ  		
00:04:23		 て あの かけ て ます ね は いそこ に ベイト が 　 混ざっ 　 て 　 くくれる 　 と 　 もう 　 より 　 いい 　 みたい 　 な  		
00:04:29		 感じ で やっ て 　 ます　ま 　 自分 　 の 　 場合 　 は 　 です 　 ね 　 あの 　 塩 　 止まる 　 前  		
00:04:37		 と か 動き 始め と か そこ ら 辺 の タイミング が 　 一番 　 スイッチ 　 入る 　 ん 　 じゃ 　 ない 　か　な 　 と 　 思っ 　 て  		
00:04:42		 て まい て も ね 食わ ない 買っ たり する ん す よ 　 ね 　 やっぱ 　 どう 　 し 　 て 　 も 　 で 　 そう 　 いう 　 の っ 　 て 　 何 か  		
00:04:49		 が きっかけ で 食う ん で ま やっぱり その 塩 の 　 動き 　 出し 　 と 　 か 　 止まる 　 前 　 と 　 か 　 が 　 よく 　 ちゃ 　 ない  		
00:04:58		 けど 使っ て くれる タイミング か な って 思っ 　 て 　 ます  		
00:05:03		 ね で 逆 に こう いう 真鯛 狙っ て て その 真鯛 の 　 タイミング 　 は 　 そう 　 な　ん 　 です 　 けど 　 よく 　 あの  		
00:05:11		 ゲスト で 青物 と か も 混ざっ て くれる ん です 　 けど 　 あ 　 逆 　 に 　 青物 　 は 　 もう 　 塩 　 が 　 動い 　 てる 　 時 　 の 　 方  		
00:05:15		 が 良かっ たり する ん で なん か 1 日 中 ロッド 　 触れ 　 て 　 ます 　 ね 　 そう 　 いう 　 時 　 の 　 釣　り って  		
00:05:22		 何 かしら が 反応 し て くれる ん  		
00:05:28		 で 　 じゃ 　 あ 　 あの 　 辺 　 まで 　 差し込み  		
00:05:35		 ます じゃ ちょっと ルアー 交換 し ます ね 結構 　 曇っ 　 てる 　 ん 　 で 　 ね 　 目立ち 　 やすい 　 色 　 を 　 入れ 　 て  		
00:05:42		 いこう か な と 思い ます ルア は シンキング 　 ペンシル 　 です 　 ね 　 9 . 9 cm 　 の 　 シンキング  		
00:05:50		 ペンシル こう 派手 な やつ です ね こう いう の 　 から 　 で 　 ここ 　 ここ 　 の 　 地形 　 が 　 えっと 　 左側 　 が  		
00:05:56		 ワイネット て なっ て て 出 です ね ワンド の 　 そう 　 いう 　 ところ 　 も 　 結構 　 回遊 　 し 　 て 　 くる 　 ん 　 で  		
00:06:03		 ちょっと 売っ て みよう か な と 思い 　 [ 音楽 ]  		
00:06:13		 [ 音楽 ] 　 ます 　 えっと 　 です 　 ね 　 これ 　 ショア 　 レッド 　 と 　 か  		
00:06:19		 狙う に あたっ て まルアー も 色々 ある ん す 　 けど 　 ま 　 ミノ 　 だっ 　 たら 　 極力 　 何 　 も 　 せ 　 ず 　 に 　 ただ  		
00:06:25		 巻く だけ ゆっくり 巻い て やっ たり 早く 巻い 　 て 　 やっ 　 たり 　 と 　 か 　 その 　 時 　 の 　 エション 　 で 　 変わる  		
00:06:30		 ん です けど ま ベイト やっ たり と か こう 　 ボイル 　 し 　 ます 　 の 　 状況 　 で 　 も 　 ゆっくり 　 巻い 　 て  		
00:06:33		 やっ たり と か で も 食う ん す けど ミノ だ っ 　 たら 　 そう 　 いう 　 使い 　 方 　 で 　 いい 　 ん 　 です 　 けど  		
00:06:37		 えっと 逆 に 言え ば こう 目 に 見える ベイト が 　 い 　 ない 　 場合 　 沈ん 　 で 　 た 　 と 　 か 　 ね 　 ある 　 ん 　 です 　 けど  		
00:06:43		 そう いう 時 は 基本 自分 の 場合 は こう 　 シンキング 　 ペンシル 　 と 　 か 　 で 　 ま 　 最初 　 上 　 の 　 方 　 を  		
00:06:48		 狙う 投げ て すぐ 巻き 始め て 結構 上 の 棚 を 　 狙っ 　 て 　 いっ 　 て 　 ま 　 当たら 　 ん 　 用 　 だっ 　 たら 　 こう  		
00:06:54		 カウント 入れ て 落とし て いく 釣り で あの ま 　 ボトム 　 まで 　 取ら 　 ない 　 です 　 けど 　 けど 　 ちょっと  		
00:07:01		 下目 を 狙う 感じ で イメージ し て 引い て き て 　 で 　 あの 　 たまに 　 ストップ 　 & 　 GO　と　か　も 　 入れ 　 て  		
00:07:08		 例えば こう 後ルア の 後ろつい てる だろう な 　 と 　 かっ 　 て 　 イメージ 　 できる 　 よう 　 やっ 　 たら  		
00:07:14		 ちょっと こう 止め て やっ て で 動かし て の 　 その 　 タイミング 　 で 　 リアクション 　 です 　 ね 　 で  		
00:07:20		 今日 の 場合 は 曇っ てる ん で こう なんか 派手 　 な 　 色 　 使っ 　 て 　 ます 　 けど 　 こう 　 太陽 　 の 　 光 　 と 　 か 　 量 　 が  		
00:07:27		 明るい 時 と か は 結構 フラッシング ギラギラ 　 する 　 よう 　 な 　 ルアー 　 と 　 か 　 カラー 　 と 　 か 　 を 　 よく  		
00:07:32		 使い ます ね そう です ねえっ と ルアー の 　 サイズ 　 感 　 に 　 関し 　 て 　 は　ま 　 ベート 　 に 　 合わせ 　 て  		
00:07:39		 る って イメージ な ん です けど 　 基本 　 さっき 　 言っ 　 た 　 ベート 　 に 　 合わせる 　 サイズ  		
00:07:44		 感 で まイワ シ だっ たら 1 0 cm そう す ね 　 8 cm 　 から 　 1 0 cm 　 弱 　 ぐらい 　 まで 　 の  		
00:07:50		 イメージ で サイズ 感 選ん だり と か し て 今度 　 逆 　 に　ま 　 自分 　 の 　 エリア 　 は 　 特に 　 味 　 と 　 か 　 食 　 てっ  		
00:07:59		 たり する こと ある ん です よ そう いう 時 は 　 ちょっと 　 ルアー 　 サイズ 　 上げ 　 たり 　 1 5 cm  		
00:08:03		 ぐらい まで 上げ ます 　 ね 　 まあ 　 なん 　 何 　 食っ 　 とる 　 か 　 よう 　 わから 　 んっ　て  		
00:08:08		 いう 時 は もう あんまり でかく し ない 方 が 　 いい 　 か 　 なっ 　 て 　 思い 　 ます 　 ね 　 1 0 cm 　 前後 　 が  		
00:08:13		 1番 いい と 思い  		
00:08:20		 [ 音楽 ]  		
00:08:28		 ます  		
00:08:34		 ちょっと 動き ましょう か 　 ね 　 よし 　 また 　 じゃあ 　 ちょっと 　 ラガン 　 し  		
00:08:41		 ますまた ここ は 後 で 打ち直し て みよう か な 　 と 　 思い  		
00:08:48		 ます  		
00:08:52		 よい しょ あ ああ 風 ない よ 3 0 分 で いい ん で 　 ね 　 風 　 取れ 　 て 　 くれれ  		
00:08:58		 ば  		
00:09:08		 ああ よっしゃ 食っ 　 た  		
00:09:11		 ああ 鯛か ない や 違う な ん な 　え　あ　え　あ 　 生地 　 派 　 だ  		
00:09:20		 はいびっくり し  		
00:09:25		 たなん だ よ ひけまだ か まし た よ もう ドキッ 　 と 　 し 　 まし　た 　 もう 　 寒い 　ん 　 で 　 も 　 ね 　 釣れ 　 たら 　 何 　 で  		
00:09:32		 も 嬉しい です けど はいあこ 生地 ハ です 　 ね 　 よし 　 もう 　 じゃ 　 逃し 　 ます 　 よっしゃ  		
00:09:45		 センキュー 今回 用意 し た ロッド が えっと 　 ブリスト 　 マリノ 　 9 . 9 　 H 　 この 　 ロッド 　 を 　 用意  		
00:09:53		 し まし た 真鯛 て 本当 よく 引くん で ま パワー 　 も 　 大事 　 な　ん 　 です 　 けど 　 そもそも 　 が 　 短い 　 ロッド  		
00:10:00		 だっ たり 長 すぎる ロッド だっ たら こう 　 ルアー 　 の 　 操作 　 性 　 だっ 　 たり 　 と 　 か 　 が 　 落ちる 　 ん 　 で  		
00:10:05		 長 さ 的 に も もう 1 0 ft 前後 の ロッド が 　 扱い 　 やすい 　 使用 　 し 　 やすい 　 ん 　 です 　 よ 　 ね 　 その  		
00:10:11		 パワー も なん だろう 強 すぎ ちゃう と そう だ 　 な 　 他 　 の 　 ところ 　 ロッド 　 じゃ 　 なく 　 て 　 魚 　 の 　 と 　 か 　 に  		
00:10:19		 も 布かけ 負担 かけ ちゃう し ルアー と か に も 　 こう 　 壊れ 　 ちゃう 　 と 　 か 　 糸 　 が 　 切れ 　 ちゃう 　 と 　 か　ま  		
00:10:26		 ロッド の 強 すぎる って こと も 良く ない なっ 　 て 　 思っ 　 て 　 て 　 要 　 は 　 ちゃんと 　 曲がっ 　 て 　 くれ 　 たり  		
00:10:33		 と かね そ 曲がり すぎ ちゃう と 今度 は 魚 の 　 ファイト 　 が 　 きつく 　 なっ 　 たり 　 と 　 か 　 ある 　 ん  		
