Time		Subtitle		Translation
00:00:00		[音楽]		
00:00:03		はいどうもこんにちは丸中ですさて今回は ヒラメ釣り 講座 です ね やっ て いき ましょう		
00:00:09		今日のテーマはこれまた聞かれることが 多い ヒラメ が 釣れる 時間 帯 塩 に つい て		
00:00:15		掘り下げて紹介していこうと思います ヒラメ が 1番 釣り やすい の は いつ な の か		
00:00:20		そして時間帯ごとの傾向などこれまでの 経験 を 元 に 紹介 し て いき ます ん で 参考 に し		
00:00:26		てもらえたら嬉しく思い ます の 活性 釣り やす さ を 左右 する 条件 って		
00:00:32		いうのはいろんなものがあると思うんです けど その 中 で も 代表 的 な もの が 今回 の		
00:00:37		テーマである時間帯ですとか調い潮の流れ 餌 と なる ベイト フィッシュ の 存在 と か に		
00:00:43		なってきますその中でもヒラメ釣りで トップ クラス に 重要 だ と 感じ て いる の が		
00:00:48		時間帯になるんですけど特にベイト フィッシュ の ウ って いう の は その 時 の 状況		
00:00:53		運によって左右されやすい要素になって くる ん で 実際 に 釣り場 に 立っ て み ない と		
00:00:58		分からないっていう部分が結構大きくなり ます 一方 で 時間 帯 の 場合 は 毎日 必ず やっ て		
00:01:04		くるものなんで釣行する時の確実な1つの 目安 に な るっていうのが 非常 に 大きな		
00:01:09		メリットというかしっかりと時間帯を選ぶ こと に よっ て より 確実 に 狙っ て 釣り やすく		
00:01:14		なるっていうことに繋がりますあとはね ヒラメ釣り の 場合 は きっちり と 時間 帯 を		
00:01:20		選んで釣りをすることによって他の条件 要素 が 揃っ て い ない 時 で も 釣果 が 出し		
00:01:25		やすくなるっていうのも大きなメリットに なっ て き ます これ は 地気 さ が ある ん です		
00:01:29		けど例えばカマ差が小さい地域ですとか 海岸 の 地形 が 単調 な 地域 の 場合 です と 大塩		
00:01:36		で塩が動くはずの時間なのに全然仕様が 流れ なかっ たり 餌 と なる ベイト フィッシュ		
00:01:41		がいなくてどこか生命感がなかったり一見 する と 釣れ そう も ない 状況 で 釣り を し		
00:01:45		なきゃいけないていうこともよくあると 思い ます こう いう 難し そう な 状況 で あっ て		
00:01:50		も時間の力でヒメの活性が上が るっていうこと が 非常 に よく ある ん で		
00:01:55		難しい時でも1匹2匹と時間の力を利用 する こと に よっ て 魚 を 引っ張り 出せる 可能		
00:02:01		性が高くなるっていうのは間違いないと 思い ます 実際 私 が 地元 静岡 の 駿河 湾 に 面し		
00:02:07		た求心なサーフですね長石通りに潮が流れ ない 場所 が 多い サーフ で ヒラメ を 狙う 場合		
00:02:12		なんですけどこれは狙うポイントにもよる ん です けど 基本 的 に は 潮回り は 見 ない で		
00:02:18		釣りに出かけることが多いですこれについ て は ね 以前 漁師 の 方 に 聞い た こと が ある ん		
00:02:23		ですけどその方も量に出かける時は基本的 に は 潮回り は あまり 意識 し て い な いっ て		
00:02:28		いうことだったんで潮の流れが発生し にくい 地域 の 場合 は まめ の 時間 と か 時間 帯		
00:02:34		っていうものをより重視した方がいいん じゃ ない か なっ て 思い ます こんな 感じ で		
00:02:38		ヒラメ釣りにおいては時間帯選びっていう の は 超 重要 な 要素 に なる ん で 特に 初心 者 の		
00:02:44		方はヒラメの活性が高くなる釣りやすい タイミング を 選 ぶっ て いう こと が 釣果 を		
00:02:49		大きく左右することにつながり ます これ は ちょっと マニアック と いう か		
00:02:54		掘り下げた話になるんですけど時間帯って 言っ て も 朝 と か 夕方 と か 太陽 の 動き 方 明る		
00:03:01		さによるものと7時8時9時とか時刻に よる もの が あり ます これ は 釣行 する 地域 と		
00:03:07		かポイントによっても変わってくる部分が ある か も しれ ない ん です けど 私 が 静岡 を		
00:03:12		中心にヒラメを釣ってきた印象としては ヒラメ の 場合 は 時刻 より も どちら か と いう		
00:03:17		と明るさですね日の出とか日没の時間に よっ て 釣れ やすい 時間 帯 が 変わっ て くるっ		
00:03:23		ていうような印象がありますどういうこと かって 言う と 例えば 朝日 が 出る 頃 に よく		
00:03:28		釣れる魚がいたします日の出が早い夏は朝 5 時 頃 に よく 釣れ た と し て 日の出 が 遅く		
00:03:34		なる冬の場合は少し遅くなって6時半頃に なる と よく 釣れ るっていう よう な 感じ です		
00:03:40		一方で時刻で動くんじゃないかなっていう 魚 も い て 例えば ブラック バス です ね 以前		
00:03:46		滋賀県の琵琶で50cm60cmとか 大きい ブラック バス を どう やっ て 狙い通り		
00:03:52		に釣れるのかっていうのを色々調査試して い た こと が ある ん です けど 大きい ブラック		
00:03:57		バスをより高確率で釣るっていうことを 考え と 10 時 と か 12 時 と か 1 年 中 決まっ		
00:04:03		た時間になるとどういうわけか魚が回遊し て くる ポイン トっ て いう の が あっ たり し た		
00:04:07		んで魚の種類とかその群れ個体群によって も 細かく 見 て いく と 違っ て くる 部分 が あ		
00:04:13		るっていう風に思いますちょっと話がそれ た ん です けど 一般 的 な ヒラメ釣り の 場合		
00:04:18		ですと長石っていうものを考慮しなければ とりあえず は 日の出 日没 の 時間 を 中心 と し		
00:04:24		た明るさっていうものを基準にして釣行 する 時間 帯 を 選ん で い く て いう 考え 方 で		
00:04:29		じゃないかなと思い		
00:04:33		ます続いて時間帯ごとのヒラメの行動 パターン です と か 傾向 に つい て 紹介 し て		
00:04:39		いこうと思いますまずは日の出前後の朝 まめ な ん です けど 結論 を 言っ て しまえ ば		
00:04:45		これからヒラメ釣りに挑戦したい初心者の 方 です と か とにかく 釣果 を 出し たい と いう		
00:04:50		ことであれば1番おすすめで外せないのが 浅め 絡み の 時間 帯 に なっ て き ます 魚釣り で		
00:04:56		は日の出日没前後の朝まめ夕まずめが 狙い目 に な るって 言わ れる こと が 多い ん		
00:05:02		ですけど私がこれまでヒラメを釣ってきた 印象 と し て は 浅 まず の 方 が 明らか に ひらめ		
00:05:07		は釣れやすいっていう風に感じますどれ くらい 釣れ やすい の かって いう の を 表現		
00:05:12		するのは難しいんですけど釣果を出せる 確率 と し て は 他 の 時間 帯 の 2 倍 から 3 倍		
00:05:18		ぐらいはチャンスがある釣りやすいぐらい の イメージ が ある ん で ヒラメ 狙い に おい て		
00:05:22		は浅めは鉄板の時間だと思いますでさっき も 軽く 紹介 し た ん です けど 浅 まめ に ヒラメ		
