Time		Subtitle		Translation
00:00:02		今回は初心者の方々にサーブで魚を釣って いただく ため の 新編 参戦 を ご 紹介 し たい と 		Cette fois-ci, nous allons montrer aux débutants comment pêcher à l'aide d'une canne à service. Je  voudrais  vous  présenter  les  nouveaux  personnages  qui  rejoignent  le  combat. 
00:00:07		思い [音楽] 		pensée [musique] 
00:00:09		ますまず新編というのはどんなルアーかと いう と シンキング ペンシル と いっ て プラグ 		Tout d'abord, quel genre d'appât est ce nouveau modèle ? Autrement  dit,  on  appelle  ça  un  crayon  qui  s'enfonce,  ou  un  bouchon. 
00:00:15		系のルアーの中でミノには出せない飛距離 が 出す こと が でき て メタル ジング 系 の 		Parmi les leurres de ce type, les vairons ne permettent pas d'atteindre la même distance de lancer. Il  peut  produire  du  type  de  jigging  métallique 
00:00:20		ルアーよりスローに誘うことができる ルアー に なり 		Il peut être utilisé pour attirer les poissons plus lentement qu'avec un leurre. Devenez  un  appât 
00:00:23		[音楽] ます 特に 新 は 本当 に いい ルア が たくさん 		[musique] Les  nouveaux  leurres,  en  particulier,  sont  vraiment  excellents. 
00:00:29		あるんですけど今回は飛距離操作性釣れる 新編 で ある と いう この 3 つ の 条件 を 		Il y en a d'autres, mais cette fois-ci, il s'agit de la distance de lancer, de la maniabilité et de la capture de poissons. Ces  trois  conditions,  qu'il  s'agisse  d'une  nouvelle  édition 
00:00:35		兼ね備えたおすすめの新編をご紹介したい と 思い 		J'aimerais vous présenter une nouveauté que je recommande et qui possède toutes ces qualités. Je  pensais 
00:00:40		[音楽] ます まず は Duo be ウォーカー ウジ 95 		[musique] Tout  d'abord,  le  Duobe  Walker  Uji  95 
00:00:47		Sになります以前にも動画でご紹介した こと が あり ます が とにかく 釣れる ルアー に 		Ce sera S, comme indiqué précédemment dans une vidéo. Ça  arrive  parfois,  mais  de  toute  façon,  c'est  un  leurre  qui  attire  les  poissons. 
00:00:53		なり ます 自分 的 な お すすめ カラー は この 2 つ で 		Nari Voici  mes  deux  recommandations  personnelles. 
00:00:58		キラキラピンクキャンディとマットピンク に なり ます 使い 方 は 基本 的 に たまき と 		Bonbon rose pailleté et rose mat Son  utilisation  se  fait  essentiellement  avec  Tamaki 
00:01:04		ストップアゴーでオッケー 		Le système Stop-a-Go est acceptable. 
00:01:09		[音楽] 		[musique] 
00:01:14		[音楽] 		[musique] 
00:01:20		[音楽] です 時折り トイチ と か ジャーク を 入れる と 		[musique] De  temps  en  temps,  vous  pouvez  ajouter  un  à-coup  ou  un  tressaillement. 
00:01:25		より効果的なので是非ともね試してみて ください 		C'est plus efficace, alors vous devriez absolument l'essayer. s'il te plaît 
00:01:35		自分はシャロエリアを探る時だったりここ ぞ と いっ た 地形 の 中層 以下 を ゆっくり と 		Lorsque j'explore les zones peu profondes, ou ici Se  déplaçant  lentement  à  travers  les  couches  moyennes  et  inférieures  du  terrain. 
00:01:40		誘う時に使っているんですけど手元に泳い で いる 感覚 が しっかり と 伝わっ て くる の で 		Je l'utilise quand j'essaie de les attirer, mais quand ils nagent dans ma main... On  ressent  très  clairement  l'impression  d'y  être. 
00:01:45		扱いやすい神辺になるかと思い ます 神辺 が 苦手 な 方 に 多い 理由 の 1 つ と し 		Je pensais que ce serait un Kannabe facile à manier. L'une  des  raisons  pour  lesquelles  beaucoup  de  gens  n'aiment  pas  Kannabe  est 
00:01:51		ては巻いてる時に泳いでる感覚が伝わり づらい こと から 何 を やっ てる の か 分から 		Quand on remonte la ligne, on a la sensation de nager. Il  est  difficile  de  comprendre  ce  qui  se  passe. 
00:01:56		ないというのがあると思うんですけどこの W 95 S は ルアー の 泳ぎ や レンジ を 把握 し 		Je pense qu'il manque quelque chose. Le  W95S  vous  aide  à  comprendre  la  nage  et  la  profondeur  du  leurre. 
00:02:02		やすい新品になるので新編入門ルアーとし て 非常 に お すめ に なり 		Comme il s'agit d'un article nouveau et peu coûteux, c'est un excellent leurre d'entrée de gamme pour les débutants. Je  le  recommande  vivement. 
00:02:11		ますお次はジャンプライズカットビボ 130 BR に なり 		Le prochain est Jumprize Cut Vivo Il  deviendra  130BR 
00:02:18		ます自分的なおすすめカラーはブルピン イワシ に なる ん です けど カラー が 		Personnellement, je recommande le noir et le rose. C'est  une  sardine,  mais  la  couleur  est 
00:02:22		リニューアルされて以前はマグマホロだっ た ん です けど 今 は レンズ ホロ に なり まし た 		Elle a été renouvelée et s'appelait auparavant Magma Holo. Mais  maintenant,  c'est  un  hologramme  de  lentille. 
00:02:28		でもレンズホロは元フローティングミノで も こだわっ て 使っ て いる ホロ に なる の で 		Mais l'hologramme de la lentille était à l'origine un petit poisson flottant. Il  s'agit  d'un  matériau  holographique  que  nous  utilisons  avec  le  plus  grand  soin. 
00:02:33		変わらずおすすめはやっぱりブルピンイワ に なり 		Ma recommandation reste BLACKPINK Iwa Il  est  devenu 
00:02:36		ます使い方はストップアン5死体に使って い ます が 浮き上がり やすい こと から 		Tout d'abord, utilisez Stop-An sur un cadavre. Cependant,  comme  elles  ont  tendance  à  remonter  à  la  surface, 
00:02:41		ドリフトも非常にやりやすいルアになるか と 思い 		Ce leurre sera-t-il facile à faire dériver ? Je  pensais 
00:02:45		ますストップ&GOはルアーが着底して から 5 回 から 10 回 巻い て 止め て また 着底 		Tout d'abord, arrêtez-vous et repartez lorsque le leurre touche le fond. Puis,  ramenez-le  5  à  10  fois,  arrêtez-vous  et  laissez-le  redescendre  au  fond. 
00:02:51		してから5回から10回巻いて止めるを 繰り返し ます 膜 速度 な ん です けど 地形 は 		Enroulez-le ensuite 5 à 10 fois et arrêtez-vous. Pour  récapituler,  concernant  la  vitesse  de  la  membrane,  le  terrain  est 
00:02:58		もちろん潮流だったり波風の影響もあるの で 一概 に は 言え ませ ん が ルアー が 		Bien sûr, les courants et les vagues jouent également un rôle. Il  est  difficile  de  l'affirmer  avec  certitude,  mais  les  appâts 
00:03:03		浮き上がりすぎてしまうような場合は さらに ゆっっくり と 巻く よう に し て 		Si elle remonte trop à la surface Ensuite,  enroulez-le  encore  plus  lentement. 
00:03:07		いただいてボトムを引きずったりとか小い て しまう よう な 場合 は 速度 を 上げ て 巻く 		Je l'ai reçu et il traînait par le bas et par de petites choses Si  le  mouvement  devient  trop  rapide,  augmentez  la  vitesse  d'enroulement. 
00:03:11		ようにして ください ま カット ビボ 130 BR の 場合 も 		De cette manière Veuillez  également  postuler  si  vous  utilisez  un  Cut  Vivo  130BR. 
00:03:16		巻いてる時とかドリフしてる時にトイチ 入れる の が ものすごく 効果 的 		Lorsqu'il s'agit de faire tourner ou de jouer The Drifters, Toichi Son  ajout  est  extrêmement  efficace. 
00:03:22		ですレンジは表層からボトム付近まで 幅広く 誘う こと が でき て あと 130mm と 		La zone s'étend de la surface jusqu'aux abords du fond. Il  peut  attirer  une  grande  variété  de  poissons  et  mesure  130  mm  de  long. 
00:03:29		いう大きさでアピール力も高いので後範囲 を サーチ する 時 に も 大 活躍 し 		Sa taille la rend très attrayante, et donc adaptée à une large gamme d'applications. Il  est  également  très  utile  lors  de  la  recherche  de 
00:03:34		[音楽] ます ドリフト は 基本 的 に 潮流 に ルアー を 		[musique] La  pêche  à  la  dérive  consiste  essentiellement  à  laisser  le  leurre  dériver  avec  le  courant. 
00:03:39		乗せてラインスラックを利用して漂わせ ながら 誘い ます が 浮き上がり やすい だけ 		Placez-le dessus et utilisez le mou du fil pour le faire dériver. Je  les  invite  en  même  temps,  mais  ils  ont  simplement  plus  de  chances  de  remonter  à  la  surface. 
00:03:44		じゃなくて自重のあるカットビボ130 BR だ から こそ コントロール が し やすい と 		Le Cut Vivo 130, lui, a son propre poids. Comme  il  s'agit  d'un  BR,  il  est  facile  à  contrôler. 
